Simulation Time,Output Voltage,Cart Position,Pendulum Angle,Virtual Measurement
0.04600,7.00000,-0.00491,0.01227,-0.00982
0.05600,7.00000,-0.00575,0.00920,-0.00943
0.06600,7.00000,-0.00580,0.00767,-0.00887
0.07600,7.00000,-0.00557,0.00767,-0.00864
0.08600,7.00000,-0.00455,0.00920,-0.00823
0.09600,7.00000,-0.00280,0.01227,-0.00771
0.10600,7.00000,-0.00048,0.01687,-0.00723
0.11600,3.28928,0.00216,0.02301,-0.00704
0.12600,-1.60066,0.00480,0.03068,-0.00747
0.13600,-7.00000,0.00684,0.03528,-0.00727
0.14600,-7.00000,0.00793,0.03835,-0.00741
0.15600,-7.00000,0.00803,0.04142,-0.00854
0.16600,-7.00000,0.00748,0.04142,-0.00909
0.17600,-7.00000,0.00630,0.03835,-0.00904
0.18600,-7.00000,0.00450,0.03528,-0.00961
0.19600,-6.36918,0.00232,0.03221,-0.01057
0.20600,-4.22865,-0.00016,0.02608,-0.01059
0.21600,-0.87702,-0.00277,0.01994,-0.01075
0.22600,1.08319,-0.00523,0.01534,-0.01136
0.23600,2.18199,-0.00734,0.01074,-0.01164
0.24600,2.11326,-0.00907,0.00767,-0.01214
0.25600,0.27426,-0.01044,0.00614,-0.01289
0.26600,-0.81097,-0.01162,0.00460,-0.01346
0.27600,-0.73050,-0.01273,0.00153,-0.01335
0.28600,0.30011,-0.01380,0.00000,-0.01380
0.29600,0.49444,-0.01475,0.00000,-0.01475
0.30600,0.11773,-0.01553,-0.00153,-0.01491
0.31600,1.84146,-0.01614,-0.00307,-0.01491
0.32600,3.20022,-0.01641,-0.00307,-0.01519
0.33600,2.56269,-0.01630,-0.00153,-0.01569
0.34600,0.08250,-0.01601,0.00000,-0.01601
0.35600,0.56750,-0.01566,0.00000,-0.01566
0.36600,1.38121,-0.01526,0.00153,-0.01587
0.37600,1.20600,-0.01471,0.00460,-0.01655
0.38600,0.37942,-0.01414,0.00614,-0.01660
0.39600,1.00297,-0.01353,0.00767,-0.01660
0.40600,1.03189,-0.01291,0.00920,-0.01660
0.41600,1.62573,-0.01228,0.01074,-0.01657
0.42600,1.34000,-0.01153,0.01227,-0.01644
0.43600,-0.19372,-0.01080,0.01534,-0.01694
0.44600,-0.48745,-0.01014,0.01687,-0.01689
0.45600,-2.17450,-0.00971,0.01841,-0.01707
0.46600,-2.55586,-0.00971,0.01841,-0.01707
0.48600,-0.58165,-0.01009,0.01841,-0.01746
0.49600,-1.53200,-0.01034,0.01841,-0.01771
0.50600,-2.57983,-0.01069,0.01841,-0.01805
0.51600,-3.75544,-0.01128,0.01687,-0.01803
0.52600,-2.52684,-0.01214,0.01534,-0.01828
0.53600,-0.59632,-0.01319,0.01381,-0.01871
0.54600,-0.25476,-0.01412,0.01227,-0.01903
0.55600,-0.62934,-0.01505,0.01074,-0.01935
0.56600,-0.93921,-0.01585,0.00767,-0.01891
0.57600,1.20513,-0.01662,0.00614,-0.01907
0.58800,1.08644,-0.01721,0.00614,-0.01966
0.59600,-0.08545,-0.01746,0.00614,-0.01991
0.60600,-1.98285,-0.01780,0.00460,-0.01964
0.61600,0.63662,-0.01817,0.00460,-0.02001
0.62600,1.46904,-0.01837,0.00460,-0.02021
